Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
4493,DORION AVE btwn ALTA VISTA DR & BLAIR ST,370761.4402,5030107.511,-75.65734,45.4078,2017-03-03,12:18:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Elmvale - Eastway - Riverview - Riverview Park West
4494,DOUGLAS AVE btwn PUTMAN AVE & BEECHWOOD AVE,369297.6937,5033735.167,-75.67556,45.44057,2017-06-12,4:32:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Lindenlea
4495,DOVERCOURT AVE @ GOLDEN AVE,363201.0233,5027245.203,-75.75425,45.38271,2017-04-18,8:05:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
4496,DOVERCOURT AVE @ HIGHLAND AVE,363065.7721,5027162.889,-75.75599,45.38198,2017-01-06,1:23:00 PM,01 - Clear,05 - Packed snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
4497,DOVERCOURT AVE @ SHERBOURNE RD,362153.1428,5026789.266,-75.76769,45.3787,2017-12-23,12:05:00 PM,03 - Snow,05 - Packed snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
4498,DOVERCOURT AVE @ WINDERMERE AVE,362535.3584,5026935.872,-75.76279,45.37999,2017-05-12,12:39:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
4499,DOVERCOURT AVE @ WINDERMERE AVE,362536.6961,5026938.547,-75.76277,45.38001,2017-03-11,3:07:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
4500,DOVERCOURT AVE @ WINDERMERE AVE,362536.1662,5026936.304,-75.76278,45.37999,2017-12-23,10:08:00 AM,01 - Clear,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
4501,DOVERCOURT AVE btwn BROADVIEW AVE & HIGHLAND AVE,362999.6536,5027123.566,-75.75684,45.38164,2017-12-20,2:55:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Carlingwood - McKellar Park - Laurentien View
4502,DOVERCOURT AVE btwn ROOSEVELT AVE & MELBOURNE AVE,363413.301,5027339.564,-75.75153,45.38354,2017-09-18,3:20:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Carlingwood - McKellar Park - Laurentien View
4503,DOWNPATRICK RD @ UPLANDS DR,370292.2603,5022804.748,-75.6643,45.34213,2017-08-14,4:01:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Hunt Club - Ottawa Airport
4504,DOWNPATRICK RD btwn MCCARTHY RD & DOWNPATRICK RD,370525.2119,5023356.763,-75.66126,45.34708,2017-05-06,7:55:00 PM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,05 - Dusk,03 - P.D. only,02 - Angle,Hunt Club East - Western Community
4505,DOWNPATRICK RD btwn MCCARTHY RD & DOWNPATRICK RD,370513.8597,5023386.075,-75.6614,45.34734,2017-03-14,9:56:00 PM,05 - Drifting Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,01 - Approaching,Hunt Club East - Western Community
4506,DOZOIS RD @ GOUGH RD,372530.0618,5010155.073,-75.63748,45.2281,2017-06-28,4:30:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Manotick
4507,DRAPER AVE btwn MORRISON DR & CORNELL ST,360233.7206,5022558.963,-75.79267,45.34079,2017-10-20,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,Qualicum - Redwood Park
4508,DRAPER AVE btwn MORRISON DR & PATHWAY PRIV,360373.7487,5023036.672,-75.79083,45.34508,2017-04-24,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Qualicum - Redwood Park
4509,DRIVEWAY (THE) @ PRINCE OF WALES DR,366884.0462,5028136.877,-75.70712,45.39042,2017-06-26,11:08:00 AM,01 - Clear,01 - Dry,11 - Roundabout,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Civic Hospital - Experimental Farm - Central Park
4510,DRIVEWAY (THE) @ PRINCE OF WALES DR,366884.0462,5028136.877,-75.70712,45.39042,2017-06-15,7:26:00 AM,01 - Clear,01 - Dry,11 - Roundabout,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Civic Hospital - Experimental Farm - Central Park
4511,DRIVEWAY (THE) @ PRINCE OF WALES DR,366883.7243,5028137.295,-75.70712,45.39042,2017-04-29,8:48:00 PM,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,07 - Dark,03 - P.D. only,07 - SMV other,Civic Hospital - Experimental Farm - Central Park
4512,DRIVEWAY (THE) @ PRINCE OF WALES DR,366884.0462,5028138.215,-75.70712,45.39043,2017-06-28,5:32:00 PM,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Civic Hospital - Experimental Farm - Central Park
4513,DRIVEWAY (THE) @ PRINCE OF WALES DR,366884.0079,5028137.422,-75.70712,45.39042,2017-09-28,6:05:00 PM,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Civic Hospital - Experimental Farm - Central Park
4514,DRIVEWAY (THE) @ PRINCE OF WALES DR,366884.0462,5028138.884,-75.70712,45.39044,2017-12-01,4:15:00 PM,01 - Clear,03 - Loose snow,11 - Roundabout,02 - Intersection related,05 - Dusk,03 - P.D. only,07 - SMV other,Civic Hospital - Experimental Farm - Central Park
4515,DRIVEWAY (THE) @ PRINCE OF WALES DR,366883.3447,5028137.141,-75.70713,45.39042,2017-11-05,5:35:00 PM,02 - Rain,02 - Wet,11 - Roundabout,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Civic Hospital - Experimental Farm - Central Park
4516,DRIVEWAY (THE) @ PRINCE OF WALES DR,366883.7111,5028137.547,-75.70712,45.39043,2017-12-17,10:10:00 AM,01 - Clear,01 - Dry,11 - Roundabout,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Civic Hospital - Experimental Farm - Central Park
4517,DU BOIS AVE btwn D'ERABLE PL & DES ORMES PL,381209.5422,5038229.626,-75.52262,45.47981,2017-11-12,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Orleans South West
4518,DU BUISSON CRES btwn GARDENWAY DR & GARDENWAY DR,384428.0711,5036444.62,-75.48175,45.46339,2017-07-24,8:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,06 - SMV unattended vehicle,Fallingbrook
4519,DU CLAIRVAUX RD @ LA CHAPELLE ST,380082.172,5034351.127,-75.53763,45.44504,2017-01-21,9:19:00 AM,01 - Clear,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Chapel Hill
4520,DU GOUVERNEUR DR @ GAUTHIER ST,388676.7211,5040869.437,-75.42667,45.5027,2017-04-11,5:23:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,Cumberland - Estates
4521,DU GRAND BOIS AVE @ INNES RD,383108.7996,5035761.846,-75.49873,45.4574,2017-09-05,5:32:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Avalon
4522,DU GRAND BOIS AVE @ INNES RD,383109.7554,5035763.746,-75.49871,45.45741,2017-12-11,6:30:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Avalon
4523,DU GRAND BOIS AVE @ INNES RD,383110.7112,5035761.368,-75.4987,45.45739,2017-12-16,2:42:00 PM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Avalon
4524,DU GRAND BOIS AVE @ INNES RD,383110.7022,5035761.852,-75.4987,45.4574,2017-12-16,2:03:00 PM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Avalon
4525,DUHAMEL ST @ FAIRMONT AVE,365668.6501,5029499.374,-75.72247,45.40279,2017-12-16,10:29:00 AM,01 - Clear,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Civi
4526,DUMAURIER AVE @ BARWELL AVE/GRENON AVE,359729.6724,5023651.86,-75.79898,45.35066,2017-01-21,5:53:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Whitehaven - Queensway Terrace North
4527,DUMAURIER AVE @ BARWELL AVE/GRENON AVE,359729.126,5023649.41,-75.79899,45.35064,2017-01-21,12:34:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Whitehaven - Queensway Terrace North
4528,DUMAURIER AVE @ PINECREST RD,360320.0068,5023833.842,-75.79142,45.35225,2017-11-13,7:51:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Whitehaven - Queensway Terrace North
4529,DUMAURIER AVE @ PINECREST RD,360321.0101,5023835.849,-75.79141,45.35227,2017-01-05,5:11:00 PM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,03 - Rear end,Whitehaven - Queensway Terrace North
4530,DUMAURIER AVE @ PINECREST RD,360322.6823,5023835.18,-75.79139,45.35226,2017-04-06,8:44:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Whitehaven - Queensway Terrace North
4531,DUMAURIER AVE @ PINECREST RD,360321.2056,5023835.694,-75.79141,45.35227,2017-12-29,10:50:00 AM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Whitehaven - Queensway Terrace North
4532,DUMAURIER AVE @ RAMSEY CRES S,360122.3526,5023335.589,-75.794,45.34778,2017-10-19,7:53:00 AM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Whitehaven - Queensway Terrace North
4533,DUMAURIER AVE @ RICHMOND RD,359627.0244,5023733.588,-75.80028,45.3514,2017-08-14,4:40:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Whitehaven - Queensway Terrace North
4534,DUMAURIER AVE @ RICHMOND RD,359628.9413,5023733.917,-75.80025,45.35141,2017-07-18,9:39:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Whitehaven - Queensway Terrace North
4535,DUMAURIER AVE @ RICHMOND RD,359628.1388,5023735.275,-75.80026,45.35142,2017-10-28,11:27:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Whitehaven - Queensway Terrace North
4536,DUMAURIER AVE btwn ALENMEDE CRES & RAMSEY CRES,359939.4493,5023271.249,-75.79634,45.34722,2017-03-06,10:00:00 PM,04 - Freezing Rain,06 - Ice,10 - No control,01 - Non intersection,99 - Other,03 - P.D. only,06 - SMV unattended vehicle,Whitehaven - Queensway Terrace North
4537,DUMAURIER AVE btwn RAMSEY CRES & RAMSEY CRES,360124.3962,5023334.967,-75.79398,45.34778,2017-09-26,3:01:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Whitehaven - Queensway Terrace North
4538,DUMAURIER AVE btwn SPLINTER CRES & ALENMEDE CRES,359840.0121,5023418.713,-75.7976,45.34855,2017-02-15,12:00:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Whitehaven - Queensway Terrace North
4539,DUNBARTON CRT btwn Continuation of DUNBARTON CRT & Continuation of DUN,371193.8965,5034279.39,-75.65125,45.44529,2017-07-22,1:24:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other,Cemetery
4540,DUNCAIRN AVE btwn CHURCHILL AVE N & TWEEDSMUIR AVE,363673.871,5027553.194,-75.74818,45.38544,2017-09-30,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Westboro
4541,DUNDEE AVE btwn ELMHURST ST & HENLEY ST,360487.2536,5024535.601,-75.78921,45.35855,2017-05-01,12:00:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Whitehaven - Queensway Terrace North
4542,DUNDONALD DR @ GREENBANK RD,365090.6441,5012122.311,-75.73197,45.24648,2017-05-17,3:19:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,New Barrhaven
4543,DUNDONALD DR @ GREENBANK RD,365090.6441,5012122.311,-75.73197,45.24648,2017-04-19,4:43:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,New Barrhaven
4544,DUNDONALD DR btwn LAMPREY ST & RIVER MIST RD,364650.9751,5011867.229,-75.7376,45.24422,2017-01-05,9:53:00 AM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,New Barrhaven
4545,DUNNING RD @ FRENCH HILL RD,392364.1512,5037643.865,-75.38007,45.47323,2017-11-27,8:00:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Navan - Vars
4546,DUNNING RD @ WILHAVEN DR,391044.2922,5040825.685,-75.39639,45.50202,2017-02-15,2:44:00 PM,03 - Snow,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Cumberland - Estates
4547,DUNNING RD btwn BRICKLAND DR & WILHAVEN DR,390851.2268,5041308.737,-75.39877,45.50639,2017-11-12,3:17:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Cumberland - Estates
4548,DUNNING RD btwn DEVINE RD & RUSSLAND RD,397537.6828,5024742.849,-75.31634,45.3565,2017-06-13,7:05:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Navan - Vars
4549,DUNNING RD btwn FRENCH HILL RD & INNES RD,391818.2495,5038969.791,-75.38682,45.48523,2017-03-14,5:35:00 PM,03 - Snow,06 - Ice,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,01 - Approaching,Cumberland - Estates
4550,DUNNING RD btwn MAGLADRY RD & SARSFIELD RD,395514.1183,5029730.949,-75.34125,45.40164,2017-05-16,5:01:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,03 - Rear end,Navan - Vars
4551,DUNNING RD btwn REGIMBALD RD & GIROUX RD,393296.4228,5035414.498,-75.36855,45.45306,2017-02-04,5:42:00 PM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Navan - Vars
4552,DUNNING RD btwn WILHAVEN DR & INNES RD,391626.6269,5039410.493,-75.38919,45.48922,2017-02-06,10:04:00 PM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Cumberland - Estates
4553,DUNROBIN RD @ GALETTA SIDE RD,333687.6064,5040340.353,-76.13034,45.50239,2017-03-08,5:57:00 AM,01 - Clear,06 - Ice,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Dirleton
4554,DUNROBIN RD @ KERWIN RD,346290.176,5027171.288,-75.97019,45.38325,2017-01-06,6:30:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4555,DUNROBIN RD @ KERWIN RD,346290.6574,5027172.368,-75.97018,45.38326,2017-01-18,5:36:00 PM,"07 - Fog, mist, smoke, dust",02 - Wet,02 - Stop sign,02 - Intersection related,05 - Dusk,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4556,DUNROBIN RD @ KINBURN SIDE RD,338029.2644,5035928.96,-76.07508,45.4625,2017-03-18,10:41:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Woodlawn
4557,DUNROBIN RD @ LILLIAN WAY,345529.6192,5027920.682,-75.97984,45.39004,2017-08-11,1:15:00 PM,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4558,DUNROBIN RD @ MARCH RD,347174.9353,5026066.874,-75.95899,45.37326,2017-06-08,5:57:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Carp - Hardwood Plains
4559,DUNROBIN RD @ MARCH RD,347172.1572,5026066.427,-75.95902,45.37326,2017-10-11,7:21:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement,Carp - Hardwood Plains
4560,DUNROBIN RD @ MARCH RD,347174.2664,5026066.205,-75.959,45.37326,2017-04-11,6:59:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Carp - Hardwood Plains
4561,DUNROBIN RD @ MARCH RD,347173.6541,5026066.72,-75.959,45.37326,2017-12-15,4:50:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement,Carp - Hardwood Plains
4562,DUNROBIN RD @ THOMAS A. DOLAN PKWY,342338.3954,5031478.34,-76.02032,45.42223,2017-07-20,9:39:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Dunrobin
4563,DUNROBIN RD @ THOMAS A. DOLAN PKWY,342338.4907,5031477.355,-76.02032,45.42222,2017-09-07,8:05:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Dunrobin
4564,DUNROBIN RD @ THOMAS A. DOLAN PKWY,342338.4552,5031478.437,-76.02032,45.42223,2017-01-12,5:35:00 PM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,03 - Rear end,Dunrobin
4565,DUNROBIN RD @ THOMAS A. DOLAN PKWY,342338.6001,5031475.572,-76.02032,45.42221,2017-04-21,11:02:00 AM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Dunrobin
4566,DUNROBIN RD @ VANCES SIDE RD,340158.0725,5033679.848,-76.04803,45.44216,2017-12-23,1:52:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,01 - Approaching,Car
4567,DUNROBIN RD btwn BAIRD'S GRANT LANE & BUCKHAMS BAY RD,334891.2419,5039148.052,-76.11501,45.49161,2017-12-09,5:40:00 PM,03 - Snow,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Buckham'
4568,DUNROBIN RD btwn BUCKHAMS BAY RD & KILMAURS SIDE RD,335002.7358,5039033.021,-76.11359,45.49057,2017-10-02,7:45:00 AM,"07 - Fog, mist, smoke, dust",02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Buckham'
4569,DUNROBIN RD btwn CONSTANCE BAY RD & KINBURN SIDE RD,336835.5427,5037151.761,-76.09027,45.47356,2017-03-14,5:58:00 PM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,07 - SMV other,Woodlawn
4570,DUNROBIN RD btwn CONSTANCE BAY RD & KINBURN SIDE RD,337460.423,5036539.633,-76.08232,45.46802,2017-04-18,7:28:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Woodlawn
4571,DUNROBIN RD btwn DUNROBIN RD & MURPHY SIDE RD,342875.4844,5030842.467,-76.01351,45.41648,2017-06-15,12:45:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4572,DUNROBIN RD btwn DUNROBIN RD & MURPHY SIDE RD,344170.7113,5029345.8,-75.99708,45.40294,2017-09-11,3:06:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Carp - Hardwood Plains
4573,DUNROBIN RD btwn DUNROBIN RD & MURPHY SIDE RD,344585.5013,5028891.854,-75.99182,45.39883,2017-11-15,5:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4574,DUNROBIN RD btwn DUNROBIN RD & MURPHY SIDE RD,342410.4245,5031407.625,-76.01941,45.42159,2017-01-13,5:41:00 PM,01 - Clear,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4575,DUNROBIN RD btwn HARWOOD LANE & KERWIN RD,346276.3448,5027190.303,-75.97037,45.38343,2017-02-10,9:25:00 PM,03 - Snow,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4576,DUNROBIN RD btwn HARWOOD LANE & KERWIN RD,346214.684,5027244.778,-75.97115,45.38392,2017-03-24,10:12:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4577,DUNROBIN RD btwn KINBURN SIDE RD & VANCES SIDE RD,338315.3617,5035608.743,-76.07145,45.4596,2017-06-25,1:05:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Woodlawn
4578,DUNROBIN RD btwn KINBURN SIDE RD & VANCES SIDE RD,338053.3168,5035905.911,-76.07478,45.46229,2017-07-31,7:31:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Woodlawn
4579,DUNROBIN RD btwn KINBURN SIDE RD & VANCES SIDE RD,339946.5788,5033893.143,-76.05071,45.44409,2017-12-18,8:38:00 PM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Car
4580,DUNROBIN RD btwn LILLIAN WAY & HARWOOD LANE,345887.2416,5027554.403,-75.9753,45.38672,2017-04-16,9:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4581,DUNROBIN RD btwn MARCH RD & RIDDELL DR,347176.9419,5026201.322,-75.95895,45.37447,2017-04-30,9:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4582,DUNROBIN RD btwn MURPHY SIDE RD & LILLIAN WAY,345071.5832,5028373.594,-75.98565,45.39414,2017-05-26,7:40:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Carp - Hardwood Plains
4583,DUNROBIN RD btwn VANCES SIDE RD & PORCUPINE TR,340222.8165,5033618.073,-76.0472,45.4416,2017-05-15,1:30:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Car
4584,DUNROBIN RD btwn VANCES SIDE RD & PORCUPINE TR,340702.286,5033140.221,-76.04111,45.43727,2017-12-15,10:22:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Car
4585,DUNROBIN RD btwn WAYBURN AVE & RIDDELL DR,347107.378,5026393.754,-75.95982,45.37621,2017-02-05,10:09:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Carp - Hardwood Plains
4586,DUNSTON TER @ HUNT CLUB RD,372221.4079,5024431.693,-75.63947,45.35659,2017-01-03,4:57:00 PM,04 - Freezing Rain,03 - Loose snow,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement,Greenboro East
4587,DUPLANTE AVE btwn TEMPO ST & ALINE AVE,385186.535,5038325.4,-75.47174,45.48023,2017-07-17,12:48:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,Cardinal Creek
4588,DUROCHER ST @ MONTREAL RD,370135.8147,5033102.256,-75.66493,45.4348,2017-09-12,12:52:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Vanier
4589,DUROCHER ST @ MONTREAL RD,370135.7527,5033101.825,-75.66494,45.4348,2017-10-21,2:07:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Vanier
4590,DUROCHER ST @ MONTREAL RD,370137.7118,5033102.923,-75.66491,45.43481,2017-11-28,5:15:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,99 - Other,Vanier
4591,DUROCHER ST @ MONTREAL RD,370136.7354,5033101.53,-75.66492,45.43479,2017-12-09,8:55:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Vanier
4592,DUROCHER ST @ MONTREAL RD,370136.7085,5033099.116,-75.66492,45.43477,2017-02-07,6:35:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,02 - Angle,Vanier
4593,DUROCHER ST @ MONTREAL RD,370137.043,5033102.923,-75.66492,45.43481,2017-03-31,2:11:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Vanier
